Klasyfikator,Accuracy,Sensitivity,Specificity,Precision,F1,AUC-ROC,Source
Logistic Regression,0.8163265306122449,0.5849056603773585,0.9468085106382979,0.8611111111111112,0.6966292134831461,0.8854375752709756,hungarian
Decision Tree,0.673469387755102,0.2358490566037736,0.9202127659574468,0.625,0.3424657534246575,0.59027498996387,hungarian
Random Forest,0.8027210884353742,0.5471698113207547,0.9468085106382979,0.8529411764705882,0.6666666666666666,0.8817743877960658,hungarian
Gradient Boosting,0.7857142857142857,0.5,0.9468085106382979,0.8412698412698413,0.6272189349112426,0.8680750702529104,hungarian
XGBoost,0.8095238095238095,0.5377358490566038,0.9627659574468085,0.890625,0.6705882352941176,0.8756272581292653,hungarian
SVM (RBF),0.8027210884353742,0.5566037735849056,0.9414893617021277,0.8428571428571429,0.6704545454545454,0.8906563629064632,hungarian
k-NN (k=5),0.7959183673469388,0.5471698113207547,0.9361702127659575,0.8285714285714286,0.6590909090909091,0.8478773584905661,hungarian
Logistic Regression,0.3902439024390244,0.3565217391304348,0.875,0.9761904761904762,0.5222929936305732,0.691304347826087,switzerland
Decision Tree,0.3252032520325203,0.2782608695652174,1.0,1.0,0.43537414965986393,0.5505434782608696,switzerland
Random Forest,0.43089430894308944,0.4,0.875,0.9787234042553191,0.5679012345679012,0.7576086956521739,switzerland
Gradient Boosting,0.3089430894308943,0.2608695652173913,1.0,1.0,0.41379310344827586,0.8195652173913044,switzerland
XGBoost,0.3983739837398374,0.3652173913043478,0.875,0.9767441860465116,0.5316455696202531,0.767391304347826,switzerland
SVM (RBF),0.25203252032520324,0.20869565217391303,0.875,0.96,0.34285714285714286,0.7184782608695652,switzerland
k-NN (k=5),0.5121951219512195,0.48695652173913045,0.875,0.9824561403508771,0.6511627906976745,0.691304347826087,switzerland
Logistic Regression,0.54,0.4429530201342282,0.8235294117647058,0.88,0.5892857142857143,0.6825898144492697,va
Decision Tree,0.34,0.1476510067114094,0.9019607843137255,0.8148148148148148,0.25,0.5142123963679431,va
Random Forest,0.555,0.4563758389261745,0.8431372549019608,0.8947368421052632,0.6044444444444445,0.7489143308330044,va
Gradient Boosting,0.465,0.3422818791946309,0.8235294117647058,0.85,0.4880382775119617,0.7097644426898276,va
XGBoost,0.53,0.436241610738255,0.803921568627451,0.8666666666666667,0.5803571428571429,0.731741018555073,va
SVM (RBF),0.525,0.4228187919463087,0.8235294117647058,0.875,0.5701357466063348,0.7047637847085143,va
k-NN (k=5),0.595,0.5302013422818792,0.7843137254901961,0.8777777777777778,0.6610878661087866,0.6852875378339255,va
